NOME,ANO_INGRESSO_2021,FASE_2021,NIVEL_IDEAL_2021,PEDRA_2021,IAN_2021,IDA_2021,IEG_2021,IAA_2021,IPS_2021,IPP_2021,IPV_2021,INDE_2021,PONTO_VIRADA_2021,REC_AVA_UNIFICADO,DEFASAGEM_2021
ALUNO-940,2019.0,1.0,2,Ágata,5.0,2.9,8.3,8.5,7.5,7.9,7.1,6.557,0,Mantido na Fase atual,-1.0
ALUNO-944,2017.0,3.0,5,Quartzo,5.0,1.3,4.7,9.2,5.6,7.3,3.6,4.625,0,Mantido na Fase atual,-2.0
ALUNO-945,2021.0,3.0,5,Ametista,5.0,9.0,6.4,8.8,7.5,8.3,8.6,7.747,0,Promovido de Fase,-2.0
ALUNO-946,2021.0,3.0,3,Ametista,10.0,7.1,6.1,7.9,7.5,7.5,8.1,7.542,0,Promovido de Fase,0.0
ALUNO-947,2021.0,1.0,2,Ametista,5.0,5.1,8.8,8.5,7.5,8.1,8.1,7.31,0,Mantido na Fase atual,-1.0
ALUNO-948,2018.0,3.0,4,Ametista,5.0,6.2,6.4,8.3,7.5,7.5,7.8,6.908,0,Promovido de Fase,-1.0
ALUNO-951,2020.0,6.0,7,Ametista,5.0,7.0,7.2,8.3,7.5,8.0,7.6,7.233,0,Promovido de Fase,-1.0
ALUNO-956,2021.0,0.0,0,Ametista,10.0,5.9,7.5,9.0,7.5,7.5,7.6,7.604,0,Mantido na Fase atual,0.0
ALUNO-957,2019.0,2.0,2,Ametista,10.0,5.3,7.5,7.5,7.5,8.1,7.9,7.44,0,Mantido na Fase atual,0.0
ALUNO-958,2021.0,4.0,6,Ametista,5.0,7.6,8.1,7.1,6.9,8.1,8.3,7.494,0,Promovido de Fase,-2.0
ALUNO-959,2021.0,1.0,2,Ametista,5.0,6.1,10.0,9.0,7.5,8.1,9.4,8.064,1,Promovido de Fase,-1.0
ALUNO-961,2019.0,2.0,2,Ametista,10.0,4.2,7.5,9.5,6.3,7.7,7.9,7.261,0,Mantido na Fase atual,0.0
ALUNO-963,2021.0,1.0,2,Ametista,5.0,7.3,9.6,7.0,7.5,8.1,8.8,7.885,0,Mantido na Fase atual,-1.0
ALUNO-964,2021.0,2.0,3,Ágata,5.0,6.3,5.4,0.0,7.5,8.3,8.0,6.029,0,Promovido de Fase,-1.0
ALUNO-965,2018.0,3.0,3,Ametista,10.0,5.0,6.1,8.8,7.5,7.5,8.2,7.239,0,Promovido de Fase,0.0
