NOME,ANO_INGRESSO_2020,FASE_2020,PEDRA_2020,IAN_2020,DESTAQUE_IDA_2020,IDA_2020,DESTAQUE_IEG_2020,IEG_2020,IAA_2020,IPS_2020,IPP_2020,DESTAQUE_IPV_2020,IPV_2020,INDE_2020,PONTO_VIRADA_2020
ALUNO-1106,2019,0,Ametista,5.0,1,9.5,1,9.9,9.000020000000001,4.375,2.5,0,8.833335,7.734169,1
ALUNO-1110,2019,1,Ametista,5.0,1,8.5,1,7.7,9.50002,7.5,8.125,0,8.0,7.852501999999999,0
ALUNO-1112,2018,6,Ágata,10.0,0,4.5,0,5.8,7.91667,6.25,7.5,1,7.9166675,6.8100005,0
ALUNO-1119,2019,1,Topázio,10.0,1,9.0,1,8.8,10.00002,7.5,7.8125,1,7.25,8.541252,0
ALUNO-1123,2019,3,Ametista,5.0,1,8.333333333333334,1,8.7,8.33334,6.875,9.166666666666666,0,9.611113333333332,8.266390000000001,1
ALUNO-1127,2018,2,Ametista,5.0,0,6.5,1,8.2,8.000020000000001,7.5,5.0,0,9.33334,7.356669999999999,1
ALUNO-1128,2018,4,Ametista,10.0,0,6.666666666666667,0,5.5,9.16668,10.0,9.375,1,9.7083425,8.229169833333334,1
ALUNO-1129,2019,2,Ametista,10.0,1,8.0,1,9.1,9.000020000000001,5.0,7.708333333333334,1,7.222216666666665,8.035278666666667,0
ALUNO-1130,2019,2,Topázio,10.0,1,9.0,1,9.7,9.50002,6.875,8.333333333333334,1,7.888890000000001,8.788613333333334,0
ALUNO-1131,2019,3,Ágata,10.0,0,4.0,1,8.1,9.58335,6.25,7.34375,1,6.541665,7.046043,0
ALUNO-1132,2019,6,Ágata,5.0,0,6.166666666666667,1,8.0,7.5,6.25,7.8125,0,8.20834,7.131251333333334,0
ALUNO-1133,2019,6,Quartzo,5.0,0,5.833333333333333,0,4.5,0.0,6.25,7.8125,0,7.291665,5.431249666666666,0
ALUNO-1134,2019,3,Ágata,10.0,0,4.833333333333333,0,6.7,9.58335,7.5,7.96875,1,6.8333325,7.178543166666667,0
ALUNO-1136,2019,4,Ametista,10.0,1,7.666666666666667,0,7.2,9.58335,5.0,7.8125,1,7.6250025,7.737918833333333,0
ALUNO-1137,2019,8,Topázio,10.0,1,9.7,1,10.0,9.58335,7.5,0.0,0,0.0,9.338335,0
ALUNO-1139,2019,2,Ametista,5.0,1,7.5,1,8.9,6.91668,7.5,7.708333333333334,0,7.499996666666666,7.492500666666666,0
ALUNO-1141,2019,2,Ágata,5.0,0,6.0,0,7.0,8.500020000000001,7.5,7.8125,0,7.5,6.9812520000000005,0
ALUNO-1142,2017,6,Quartzo,5.0,0,3.1666666666666665,0,7.0,7.5,6.25,7.1875,0,6.70833,5.968749333333333,0
ALUNO-1145,2020,3,Ágata,5.0,0,4.666666666666667,0,6.1,9.16668,6.875,8.125,0,5.777770000000001,6.225555333333334,0
ALUNO-1148,2018,4,Quartzo,5.0,0,0.0,0,1.2,6.66667,2.5,5.0,0,4.5416725,3.0650015,0
ALUNO-1149,2019,0,Ágata,5.0,1,9.0,1,10.0,9.50002,5.625,2.5,0,4.833325,7.029166999999999,0
ALUNO-1150,2018,1,Topázio,10.0,1,9.5,1,8.8,9.50002,7.5,7.916666666666668,1,7.61111,8.673890666666669,0
