NOME,FASE_2020,FASE_2021,FASE_2022,PEDRA_2020,PEDRA_2021,PEDRA_2022,PONTO_VIRADA_2020,PONTO_VIRADA_2021,PONTO_VIRADA_2022,ANO_INGRESSO_2020,ANO_INGRESSO_2021,ANO_INGRESSO_2022,IAN_2020,IAN_2021,IAN_2022,IDA_2020,IDA_2021,IDA_2022,IEG_2020,IEG_2021,IEG_2022,IAA_2020,IAA_2021,IAA_2022,IPS_2020,IPS_2021,IPS_2022,IPP_2020,IPP_2021,IPP_2022,IPV_2020,IPV_2021,IPV_2022,INDE_2020,INDE_2021,INDE_2022
ALUNO-100,1,1.0,2.0,Ágata,Quartzo,Ágata,0.0,0.0,0.0,2018.0,2018.0,2018.0,5.0,5.0,5.0,7.5,0.0,1.666666666666666,6.5,0.0,8.475473801560758,9.000020000000001,8.5,9.000020000000001,4.375,3.8,5.0,6.875,6.3,6.25,7.916665,3.8,7.444443333333333,6.908335000000001,3.117,6.042318760312152
ALUNO-102,1,1.0,1.0,Ametista,Ágata,Ametista,0.0,0.0,0.0,2020.0,2020.0,2020.0,10.0,5.0,5.0,7.0,4.8,7.666666666666666,8.5,7.5,8.941798941798943,8.000020000000001,6.3,7.333340000000001,7.5,7.5,7.5,7.5,7.9,6.041666666666667,7.833333333333333,7.8,7.833333333333333,7.966668666666667,6.704,7.475860455026456
ALUNO-103,0,1.0,1.0,Topázio,Ametista,Ametista,0.0,0.0,0.0,2020.0,2020.0,2020.0,10.0,10.0,5.0,8.5,6.2,6.0,10.0,8.8,8.903448275862068,9.000020000000001,9.5,9.50002,7.5,6.3,5.625,7.8125,7.9,5.625,7.333335,8.6,7.749995,8.597919000000001,8.076,7.105690655172413
ALUNO-105,3,4.0,,Topázio,Quartzo,,0.0,0.0,,2020.0,2020.0,,10.0,10.0,,8.0,2.8,,9.6,1.1,,9.16668,10.0,,7.5,7.5,,7.96875,6.7,,7.66667,3.7,,8.516877,4.956,
ALUNO-106,0,1.0,,Ametista,Ametista,,0.0,1.0,,2020.0,2020.0,,5.0,5.0,,10.0,7.9,,10.0,7.9,,9.50002,10.0,,7.5,7.5,,7.5,8.3,,7.5,10.0,,8.450002,8.242,
ALUNO-111,3,4.0,,Ágata,Ametista,,0.0,0.0,,2020.0,2020.0,,5.0,5.0,,4.5,6.0,,7.7,8.1,,7.91667,8.3,,7.5,7.5,,7.96875,8.4,,7.8750025,7.4,,6.8535425,7.222,
ALUNO-112,3,4.0,,Ágata,Ágata,,0.0,0.0,,2018.0,2021.0,,5.0,5.0,,5.333333333333333,6.2,,6.8,3.1,,7.91667,9.2,,4.375,6.9,,7.708333333333334,7.7,,7.611103333333333,6.9,,6.448887666666667,6.098,
ALUNO-113,1,2.0,3.0,Ametista,Ágata,Ágata,0.0,0.0,0.0,2019.0,2019.0,2019.0,5.0,5.0,10.0,7.5,4.6,5.166666666666666,8.8,7.1,6.253787878787879,8.500020000000001,9.5,9.16668,7.5,7.5,5.625,7.5,8.1,5.625,7.916665,6.6,5.4166575,7.693335000000001,6.664,6.40909040909091
ALUNO-115,4,,,Quartzo,,,0.0,,,2019.0,,,5.0,,,5.166666666666667,,,1.9,,,9.16668,,,6.875,,,7.916666666666667,,,5.111106666666666,,,5.331389333333334,,
ALUNO-117,1,2.0,,Ametista,Ametista,,0.0,0.0,,2020.0,2020.0,,5.0,10.0,,9.5,7.1,,8.9,7.1,,8.000020000000001,8.5,,7.5,7.5,,7.1875,8.3,,7.916665,7.6,,8.032085,7.774,
